Close0;Close1;Close2;Close3;Close4;Close5
1.3923;1.3983;1.39552;1.3976;1.4002;1.4142
1.3882;1.3923;1.3983;1.39552;1.3976;1.4002
1.4019;1.3882;1.3923;1.3983;1.39552;1.3976
1.3948;1.4019;1.3882;1.3923;1.3983;1.39552
1.39647;1.3948;1.4019;1.3882;1.3923;1.3983
1.3977;1.39647;1.3948;1.4019;1.3882;1.3923
1.3966;1.3977;1.39647;1.3948;1.4019;1.3882
1.4107;1.3966;1.3977;1.39647;1.3948;1.4019
1.4148;1.4107;1.3966;1.3977;1.39647;1.3948
1.41;1.4148;1.4107;1.3966;1.3977;1.39647
1.41244;1.41;1.4148;1.4107;1.3966;1.3977
1.4231;1.41244;1.41;1.4148;1.4107;1.3966
1.4224;1.4231;1.41244;1.41;1.4148;1.4107
1.4219;1.4224;1.4231;1.41244;1.41;1.4148
1.4141;1.4219;1.4224;1.4231;1.41244;1.41
1.4214;1.4141;1.4219;1.4224;1.4231;1.41244
1.4216;1.4214;1.4141;1.4219;1.4224;1.4231
1.4234;1.4216;1.4214;1.4141;1.4219;1.4224
1.4166;1.4234;1.4216;1.4214;1.4141;1.4219
1.4049;1.4166;1.4234;1.4216;1.4214;1.4141
1.4073;1.4049;1.4166;1.4234;1.4216;1.4214
1.4251;1.4073;1.4049;1.4166;1.4234;1.4216
1.42503;1.4251;1.4073;1.4049;1.4166;1.4234
1.4411;1.42503;1.4251;1.4073;1.4049;1.4166
1.4407;1.4411;1.42503;1.4251;1.4073;1.4049
1.4403;1.4407;1.4411;1.42503;1.4251;1.4073
1.4346;1.4403;1.4407;1.4411;1.42503;1.4251
1.417;1.4346;1.4403;1.4407;1.4411;1.42503
1.41921;1.417;1.4346;1.4403;1.4407;1.4411
1.414;1.41921;1.417;1.4346;1.4403;1.4407
1.415;1.414;1.41921;1.417;1.4346;1.4403
1.4189;1.415;1.414;1.41921;1.417;1.4346
1.4292;1.4189;1.415;1.414;1.41921;1.417
1.4189;1.4292;1.4189;1.415;1.414;1.41921
1.41877;1.4189;1.4292;1.4189;1.415;1.414
1.4082;1.41877;1.4189;1.4292;1.4189;1.415
1.4134;1.4082;1.41877;1.4189;1.4292;1.4189
1.4223;1.4134;1.4082;1.41877;1.4189;1.4292
1.4253;1.4223;1.4134;1.4082;1.41877;1.4189
1.4335;1.4253;1.4223;1.4134;1.4082;1.41877
1.43363;1.4335;1.4253;1.4223;1.4134;1.4082
1.4303;1.43363;1.4335;1.4253;1.4223;1.4134
1.4297;1.4303;1.43363;1.4335;1.4253;1.4223
1.4254;1.4297;1.4303;1.43363;1.4335;1.4253
1.4342;1.4254;1.4297;1.4303;1.43363;1.4335
1.43;1.4342;1.4254;1.4297;1.4303;1.43363
1.4283;1.43;1.4342;1.4254;1.4297;1.4303
1.4333;1.4283;1.43;1.4342;1.4254;1.4297
1.4224;1.4333;1.4283;1.43;1.4342;1.4254
1.4263;1.4224;1.4333;1.4283;1.43;1.4342
1.4252;1.4263;1.4224;1.4333;1.4283;1.43
1.4303;1.4252;1.4263;1.4224;1.4333;1.4283
1.43138;1.4303;1.4252;1.4263;1.4224;1.4333
1.4332;1.43138;1.4303;1.4252;1.4263;1.4224
1.4478;1.4332;1.43138;1.4303;1.4252;1.4263
1.4559;1.4478;1.4332;1.43138;1.4303;1.4252
1.4582;1.4559;1.4478;1.4332;1.43138;1.4303
1.4581;1.4582;1.4559;1.4478;1.4332;1.43138
1.45818;1.4581;1.4582;1.4559;1.4478;1.4332
1.4621;1.45818;1.4581;1.4582;1.4559;1.4478
1.4656;1.4621;1.45818;1.4581;1.4582;1.4559
1.4709;1.4656;1.4621;1.45818;1.4581;1.4582
1.4741;1.4709;1.4656;1.4621;1.45818;1.4581
1.4702;1.4741;1.4709;1.4656;1.4621;1.45818
1.46995;1.4702;1.4741;1.4709;1.4656;1.4621
1.4682;1.46995;1.4702;1.4741;1.4709;1.4656
1.479;1.4682;1.46995;1.4702;1.4741;1.4709
1.4734;1.479;1.4682;1.46995;1.4702;1.4741
1.4666;1.4734;1.479;1.4682;1.46995;1.4702
1.4669;1.4666;1.4734;1.479;1.4682;1.46995
1.47024;1.4669;1.4666;1.4734;1.479;1.4682
1.4619;1.47024;1.4669;1.4666;1.4734;1.479
1.4588;1.4619;1.47024;1.4669;1.4666;1.4734
1.4641;1.4588;1.4619;1.47024;1.4669;1.4666
1.4545;1.4641;1.4588;1.4619;1.47024;1.4669
1.457;1.4545;1.4641;1.4588;1.4619;1.47024
1.46075;1.457;1.4545;1.4641;1.4588;1.4619
1.4649;1.46075;1.457;1.4545;1.4641;1.4588
1.472;1.4649;1.46075;1.457;1.4545;1.4641
1.4691;1.472;1.4649;1.46075;1.457;1.4545
1.4793;1.4691;1.472;1.4649;1.46075;1.457
1.4708;1.4793;1.4691;1.472;1.4649;1.46075
1.47388;1.4708;1.4793;1.4691;1.472;1.4649
